Gene	logFC	padj.value
STRA13	-0.106	0.761022
STRA6	-0.00109	1
STRADA	0.152	0.184626
STRAP	-0.179	0.153337
STRBP	-0.277	0.105852
STRIP1	0.047	0.787282
STRIP2	-1.33E-14	1
STRN	0.0209	0.347249
STRN3	-0.0117	1
STRN4	0.164	0.445062
STS	-0.0165	0.979558
STT3A	-0.197	0.62497
STUB1	-0.0314	0.852424
STX10	-0.0412	0.835427
STX11	0.114	0.694596
STX12	0.0341	0.856822
STX16	-0.066	0.733208
STX17	0.0429	0.872536
STX18	-0.0911	0.692701
STX18-AS1	0.00262	0.712537
STX19	-0.00364	0.660052
STX1A	-0.0018	0.739311
STX1B	0.0191	0.805972
STX2	-0.15	0.22108
STX3	-0.0394	0.92212
STX4	0.191	0.082858
STX5	0.143	0.379591
STX6	0.089	0.39559
STX7	-0.171	0.370967
STX8	-0.221	0.277503
STXBP1	0.0759	0.806708
STXBP2	0.36	0.078754
STXBP3	-0.223	0.260161
STXBP4	0.0158	0.135034
STXBP5	0.0098	1
STXBP5-AS1	0.0058	0.990864
STXBP5L	-0.00000213	1
STXBP6	0.00634	0.654932
STYK1	0.0426	0.292982
STYX	-0.0524	0.26165
STYXL1	0.0873	0.679641
SUB1	-0.366	0.152005
SUCLA2	-0.306	0.339123
SUCLG1	-0.108	0.274291
SUCLG2	-0.306	0.196285
SUCNR1	0.196	0.735874
SUCO	-0.518	0.047955
SUDS3	-0.04	0.859242
SUFU	-0.000709	0.863643
SUGCT	0.00914	0.863144
SUGP1	0.0666	0.64741
SUGP2	-0.0895	0.270669
SUGT1	-0.152	0.393225
SUGT1P1	-0.0187	0.789804
SUGT1P3	-0.00271	0.702187
SULF1	-0.000363	0.835387
SULF2	-0.0091	1
SULT1A1	0.018	1
SULT1A2	-0.0525	0.863548
SULT1B1	0.0418	1
SULT1C2	-0.000305	0.81849
SULT1C4	0.000479	0.983995
SULT1E1	-0.000185	0.885506
SULT2A1	-1.33E-14	1
SULT2B1	0.0248	0.452676
SULT4A1	-0.00053	0.835254
SUMF1	0.0912	0.615461
SUMF2	-0.0624	0.69374
SUMO1	-0.167	0.383482
SUMO3	-0.0711	0.816441
SUMO4	-0.185	0.300336
SUN1	-0.0656	0.528703
SUN2	0.0696	0.736297
SUN3	0.00091	1
SUN5	-1.33E-14	1
SUOX	0.155	0.066772
SUPT16H	-0.0675	0.440109
SUPT20H	-0.0896	0.613517
SUPT3H	-0.0168	0.888074
SUPT4H1	0.0674	0.732782
SUPT5H	0.0612	0.663905
SUPT6H	0.215	0.236456
SUPT7L	-0.127	0.32681
SUPV3L1	-0.00385	1
SURF1	-0.0342	0.891275
SURF2	0.000925	1
SURF4	0.0137	0.986016
SURF6	-0.0334	0.89973
SUSD1	0.125	0.637803
SUSD2	0.000339	1
SUSD3	-0.299	0.179784
SUSD4	0.00116	1
SUSD5	-0.00134	0.959401
SUSD6	0.0516	0.858352
SUV39H1	0.101	0.502521
SUV39H2	-0.00164	0.711447
SUZ12	-0.208	0.181708
SV2A	0.0341	0.699436
SV2B	0.00372	0.65754
SVBP	-0.00312	1
SVEP1	-1.33E-14	1
SVIL	0.0848	0.725321
SVIP	-0.259	0.340814
SVOP	0.0142	0.312978
SVOPL	0.00307	0.378948
SWAP70	-0.175	0.58838
SWI5	0.186	0.148041
SWSAP1	-0.0372	0.915786
SWT1	0.0712	0.780542
SYAP1	0.0558	0.782694
SYBU	-0.0000192	1
SYCE1	-1.33E-14	1
SYCE1L	0.0191	0.86277
SYCE2	-0.00753	0.790611
SYCE3	0.0208	0.965468
SYCN	-0.00768	0.835427
SYCP1	-1.33E-14	1
SYCP2	0.197	0.277745
SYCP2L	-0.000782	0.782785
SYCP3	0.00855	0.930048
SYDE1	0.0275	0.621903
SYF2	-0.0784	0.250909
SYK	0.12	0.463883
SYMPK	0.0128	0.740009
SYN1	-0.00626	0.530551
SYN2	0.0166	0.529317
SYN3	-0.00666	0.840689
SYNC	0.00138	0.519152
SYNCRIP	-0.165	0.420678
SYNDIG1	0.00844	0.817346
SYNDIG1L	0.0127	0.729987
SYNE1	-0.024	0.889249
SYNE2	-0.0128	0.920097
SYNE3	-0.0137	0.711612
SYNE4	-0.00612	0.592938
SYNGAP1	0.0127	0.839173
SYNGR1	-0.00285	1
SYNGR2	0.145	0.319572
SYNGR3	-0.00297	1
SYNGR4	0.0022	0.887789
SYNJ1	-0.0643	0.704886
SYNJ2	-0.05	0.847638
SYNJ2BP	-0.153	0.186007
SYNM	-0.0492	0.431652
SYNPO	-0.0232	0.756386
SYNPO2	-1.33E-14	1
SYNPO2L	-0.000366	0.783721
SYNPR	-0.00155	0.73066
SYNRG	-0.0166	0.988917
SYP	-0.0137	0.909429
SYPL1	-0.245	0.088382
SYPL2	-0.00779	0.748742
SYS1	0.0626	0.583755
SYT1	-1.33E-14	1
SYT11	0.21	0.100615
SYT12	-0.0151	0.954071
SYT13	0.0125	0.246722
SYT14	0.000699	0.831128
SYT15	-0.00286	0.915198
SYT16	-0.000138	0.950296
SYT17	0.0505	0.234204
SYT2	0.0286	0.102482
SYT4	-0.00407	0.987293
SYT5	-0.00258	0.897636
SYT6	-0.000143	0.897077
SYT7	-1.33E-14	1
SYT8	0.071	0.275271
SYT9	-0.00352	0.832319
SYTL1	-0.0000567	1
SYTL2	-0.184	0.450063
SYTL3	0.172	0.475621
SYTL4	0.206	0.314793
SYTL5	-0.000365	0.976366
SYVN1	0.0257	0.954623
SZRD1	0.0843	0.259196
SZT2	-0.015	1
T	0.011	0.726421
TAAR1	-0.00000317	1
TAAR2	-1.33E-14	1
TAAR3	-1.33E-14	1
TAAR5	-0.00434	0.771261
TAAR8	0.0181	0.387172
TAAR9	-0.000115	0.932124
TAB1	-0.000663	1
TAB2	-0.254	0.093899
TAB3	-0.0194	0.972943
TAC1	-0.000112	0.916883
TAC3	0.1	0.568636
TAC4	0.0197	0.794531
TACC1	-0.0148	0.989086
TACC2	-0.000159	0.877347
TACC3	0.188	0.207294
TACO1	-0.00137	1
TACR1	-1.33E-14	1
TACR2	0.0116	0.663189
TACR3	0.0159	0.513378
TACSTD2	-0.121	0.893191
TADA1	-0.532	0.028209
TADA2A	-0.00515	0.701542
TADA2B	0.14	0.233593
TADA3	0.0975	0.189475
TAF1	-0.0543	0.366691
TAF10	0.0405	0.852514
TAF11	-0.265	0.102482
TAF12	-0.0661	0.76396
TAF13	-0.00467	0.884174
TAF15	0.0483	0.776527
TAF1A	-0.362	0.078656
TAF1A-AS1	-0.00153	0.757793
TAF1B	-0.101	0.341521
TAF1C	-0.0455	0.487346
TAF1D	-0.273	0.149915
TAF1L	0.134	0.621139
TAF2	-0.15	0.073019
TAF3	-0.043	0.871094
TAF4	-0.086	0.174069
TAF4B	-0.152	0.078656
TAF5	-0.292	0.136657
TAF5L	-0.00085	1
TAF6	0.0136	1
TAF6L	0.0129	0.479767
TAF7	-0.28	0.052698
TAF7L	-1.33E-14	1
TAF8	0.0148	0.989756
TAF9	-0.494	0.058587
TAF9B	-0.177	0.213317
TAGAP	-0.213	0.097074
TAGLN	0.105	0.717478
TAGLN2	0.133	0.538081
TAGLN3	0.00642	0.512853
TAL1	0.152	0.714171
TAL2	0.00035	0.678804
TALDO1	0.071	0.241749
TAMM41	-0.0249	0.906003
TANC1	-1.33E-14	1
TANC2	0.0214	0.982906
TANGO2	-0.0322	0.965185
TANGO6	-0.0306	0.477159
TANK	-0.171	0.305326
TAOK1	0.195	0.794919
TAOK2	0.101	0.275086
TAOK3	0.0798	0.556892
TAP1	0.0917	0.775047
TAP2	-0.0725	0.811329
TAPBP	0.232	0.100657
TAPBPL	0.0858	0.729167
TAPT1	-0.125	0.096294
TARBP1	-0.326	0.099965
TARBP2	0.0172	0.829472
TARDBP	-0.237	0.20199
TARS	-0.111	0.757037
TARS2	-0.0321	0.51726
TARSL2	-0.0558	0.188163
TAS1R1	-0.000289	0.798025
TAS1R2	-1.33E-14	1
TAS2R1	0.000242	0.746766
TAS2R10	-0.0105	0.797061
TAS2R13	-1.33E-14	1
TAS2R14	-0.000128	0.920487
TAS2R16	-1.33E-14	1
TAS2R3	0.0118	0.274291
TAS2R38	0.00218	0.857685
TAS2R39	-0.00671	0.799997
TAS2R4	-1.33E-14	1
TAS2R40	-1.33E-14	1
TAS2R41	0.000579	1
TAS2R5	-0.000207	1
TAS2R50	-0.00015	0.883717
TAS2R7	-1.33E-14	1
TAS2R8	-1.33E-14	1
TAS2R9	-0.000182	0.885167
TASP1	-0.148	0.109197
TAT	0.0568	0.291832
TATDN2	0.0376	0.336347
TATDN3	-0.0702	0.446788
TAX1BP1	-0.184	0.320371
TAX1BP3	0.0854	0.659728
TAZ	0.0485	0.676436
TBATA	0.00552	1
TBC1D1	0.0451	0.897135
TBC1D10A	0.049	0.784495
TBC1D10B	0.267	0.088293
TBC1D10C	-0.0872	0.60719
TBC1D12	-0.0588	0.121908
TBC1D13	0.067	0.404654
TBC1D14	0.263	0.151504
TBC1D15	-0.0865	0.723778
TBC1D16	-1.33E-14	1
TBC1D17	0.00485	1
TBC1D19	0.001	0.794217
TBC1D2	0.17	0.272559
TBC1D20	0.0746	0.496619
TBC1D21	0.00325	1
TBC1D22A	0.058	0.378968
TBC1D22B	0.0183	1
TBC1D23	-0.19	0.257671
TBC1D24	0.00976	0.645707
TBC1D25	0.0194	0.889073
TBC1D26	0.0319	0.45228
TBC1D29	0.00974	0.974205
TBC1D2B	0.00391	1
TBC1D30	0.00447	1
TBC1D31	-0.331	0.176634
TBC1D32	-0.0211	0.334759
TBC1D4	-0.443	0.19519
TBC1D5	0.075	0.366991
TBC1D7	0.233	0.273464
TBC1D8	0.492	0.069105
TBC1D8B	0.00615	0.308197
TBC1D9	-0.24	0.487346
TBC1D9B	0.00371	1
TBCB	0.0728	0.542697
TBCC	-0.138	0.089454
TBCCD1	-0.13	0.692767
TBCD	0.0282	0.424929
TBCE	-0.126	0.501799
TBCEL	-0.133	0.710124
TBCK	-0.132	0.71443
TBK1	-0.217	0.165669
TBKBP1	0.21	0.188596
TBL1X	0.257	0.205409
TBL1XR1	-0.1	0.69219
TBL1Y	-1.33E-14	1
TBL2	0.123	0.413416
TBL3	0.164	0.102482
TBP	-0.0995	0.378989
TBPL1	-0.108	0.62721
TBR1	-1.33E-14	1
TBRG1	-0.111	0.181216
TBRG4	-0.0928	0.717697
TBX1	-0.013	0.86184
TBX10	0.03	0.406645
TBX15	0.00918	0.684231
TBX18	0.000287	1
TBX19	0.0122	0.791347
TBX2	-0.000654	0.984629
TBX20	-0.0000094	1
TBX21	0.159	0.668452
TBX22	-0.0000973	0.937707
TBX3	-1.33E-14	1
TBX4	-0.0217	0.904631
TBX5	-0.00363	0.908338
TBX5-AS1	-1.33E-14	1
TBX6	-0.00321	0.818951
TBXA2R	0.171	0.377471
TBXAS1	0.123	0.509915
TC2N	-0.536	0.039891
TCAIM	-0.0376	0.878752
TCAM1P	0.00193	0.93557
TCAP	0.00193	1
TCEA2	0.00377	0.981301
TCEA3	-0.0653	0.854252
TCEAL1	-0.439	0.050377
TCEAL2	-1.33E-14	1
TCEAL3	-0.0927	0.801248
TCEAL4	-0.346	0.222039
TCEAL7	0.000227	0.965843
TCEAL8	-0.357	0.113729
TCEAL9	0.00539	0.791347
TCEANC2	0.0189	0.886274
TCEB2	0.0543	0.693435
TCEB3	-0.0465	0.462514
TCEB3-AS1	-0.063	0.637572
TCEB3B	0.0646	0.412015
TCERG1	-0.413	0.22347
TCERG1L	-1.33E-14	1
TCF12	-0.305	0.211212
TCF15	-0.0214	0.69374
TCF19	-0.017	0.901048
TCF20	-0.00778	1
TCF21	-0.0000189	1
TCF24	-0.00000378	1
TCF25	0.0328	0.853069
TCF3	-0.106	0.770143
TCF4	-0.103	0.387574
TCF7	-0.107	0.849532
TCF7L1	-0.00036	0.980749
TCF7L2	-0.0831	0.723506
TCFL5	-0.295	0.207402
TCHH	-0.000789	0.832617
TCHP	0.00456	1
TCIRG1	0.107	0.554985
TCL1A	-0.6	0.089454
TCL1B	-0.00853	0.806891
TCL6	-0.013	0.801292
TCN1	0.0525	1
TCN2	0.0543	0.856822
TCOF1	0.0221	0.737636
TCP1	0.0771	0.742731
TCP10L	0.0177	0.852514
TCP11	0.046	0.148187
TCP11L1	0.0978	0.299672
TCP11L2	-0.0178	1
TCTA	0.0465	0.799889
TCTE1	0.0225	0.355039
TCTE3	0.00241	1
TCTEX1D1	-0.044	0.606144
TCTEX1D2	-0.103	0.366496
TCTN1	-0.184	0.163388
TCTN2	-0.00711	0.431315
TCTN3	-0.201	0.418601
TDH	-0.0075	0.797684
TDO2	-1.33E-14	1
TDP1	-0.0536	0.641696
TDP2	-0.153	0.366791
TDRD1	-0.0355	0.877347
TDRD10	0.00211	1
TDRD3	-0.106	0.174145
TDRD5	-1.33E-14	1
TDRD6	0.000154	1
TDRD7	-0.0662	0.858548
TDRD9	0.781	0.035508
TDRG1	0.152	0.213317
TDRKH	-0.000258	0.975304
TDRP	0.049	0.525535
TEAD1	-0.000114	0.932717
TEAD2	-0.000442	0.839173
TEAD3	0.085	0.1742
TEAD4	0.0153	0.676865
TEC	0.0202	0.865666
TECPR1	0.208	0.153216
TECPR2	0.403	0.032972
TECRL	0.00118	0.599847
TECTA	-0.000964	0.710911
TECTB	0.00317	0.890479
TEDDM1	-0.00233	0.98734
TEF	0.00877	0.864192
TEFM	-0.314	0.222764
TEK	-0.00359	0.781867
TEKT1	0.00979	0.314008
TEKT2	-0.00314	1
TEKT3	0.00281	0.307913
TEKT5	-1.33E-14	1
TELO2	-0.00421	0.886274
TEN1	-0.0874	0.769893
TENM1	0.00164	1
TENM2	-0.000139	0.912756
TENM3	-0.000379	0.842939
TENM4	-1.33E-14	1
TEP1	-0.0547	0.438283
TEPP	0.0262	0.821733
TERF1	-0.188	0.205311
TERF2	0.0698	0.714203
TERF2IP	-0.0124	1
TERT	0.0166	0.787282
TES	0.036	0.815868
TESC	-0.0177	1
TESK1	0.0197	0.993078
TESK2	-0.0463	0.832319
TESPA1	-0.142	0.782694
TET1	-0.0129	0.760831
TET2	0.0687	0.348176
TET3	0.0196	0.920718
TEX10	-0.132	0.5594
TEX101	-0.0235	0.801509
TEX11	-0.0000417	1
TEX12	0.0000896	1
TEX13A	-0.0151	0.830387
TEX13B	0.0397	0.56569
TEX14	-0.00104	1
TEX15	-1.33E-14	1
TEX19	0.000759	0.688439
TEX2	-0.105	0.738315
TEX22	0.000782	1
TEX26	0.00311	0.458394
TEX26-AS1	-1.33E-14	1
TEX261	0.0234	0.850918
TEX264	-0.0195	0.98476
TEX29	0.00901	0.818951
TEX30	-0.0712	0.550522
TEX33	-1.33E-14	1
TEX35	0.0114	0.879549
TEX36	-1.33E-14	1
TEX36-AS1	0.0042	0.49326
TEX37	0.00217	1
TEX38	-1.33E-14	1
TEX40	0.0879	0.561202
TEX41	-0.00114	1
TEX43	0.000131	0.878752
TEX9	0.00306	0.942799
TF	-1.33E-14	1
TFAM	-0.0497	0.73066
TFAP2A	-0.000514	0.919727
TFAP2A-AS1	0.00424	0.170273
TFAP2B	-0.0000986	1
TFAP2C	-0.0000468	1
TFAP2D	0.00339	1
TFAP2E	-0.000946	1
TFAP4	0.0874	0.316632
TFB1M	-0.142	0.477159
TFB2M	-0.325	0.139485
TFCP2	-0.0691	0.691374
TFCP2L1	-1.33E-14	1
TFDP1	-0.159	0.695085
TFDP2	0.0323	0.936508
TFDP3	-0.0747	0.446292
TFE3	0.201	0.119088
TFEB	0.166	0.383668
TFEC	-0.46	0.327732
TFF1	0.00109	1
TFF2	-0.00635	1
TFF3	-0.049	0.954694
TFG	0.0908	0.568803
TFIP11	0.355	0.035852
TFPI	0.00637	0.506368
TFPI2	-1.33E-14	1
TFPT	0.0134	1
TFR2	0.051	0.965881
TFRC	0.00266	1
TG	0.168	0.037889
TGDS	-0.468	0.051661
TGFA	0.17	0.400676
TGFB1	0.181	0.482575
TGFB1I1	0.129	0.769913
TGFB2	-1.33E-14	1
TGFB3	-0.00247	1
TGFBI	-0.0397	1
TGFBR1	-0.126	0.50723
TGFBR2	-0.121	0.314311
TGFBR3	-0.0205	1
TGFBRAP1	0.0122	0.517481
TGIF1	-0.116	0.566664
TGIF2	-0.00243	1
TGM1	-0.0152	0.783779
TGM2	-0.0331	0.994935
TGM3	0.15	0.793318
TGM4	-0.000231	0.863415
TGM5	0.0661	0.372837
TGM6	0.0704	0.292982
TGM7	-0.000246	0.844321
TGOLN2	0.169	0.230692
TGS1	-0.0676	0.628301
TH	-0.00138	0.834889
THADA	0.0221	0.912037
THAP1	-0.282	0.151984
THAP10	-1.33E-14	1
THAP11	-0.125	0.472715
THAP2	-0.108	0.521996
THAP4	0.00848	1
THAP5	-0.124	0.612381
THAP6	-0.0554	0.491224
THAP7	0.000492	1
THAP7-AS1	-0.0000377	1
THAP8	0.0311	0.843731
THAP9	-0.00708	0.618735
THAP9-AS1	-0.649	0.035688
THBD	0.128	0.809184
THBS1	0.206	0.259135
THBS2	0.00734	0.841854
THBS3	0.117	0.598168
THBS4	-0.0131	0.733826
THEG	-0.00147	0.8526
THEM4	-0.288	0.320974
THEM6	0.0226	0.731091
THEMIS	-0.589	0.087173
THEMIS2	0.167	0.124002
THG1L	-0.198	0.159774
THNSL1	-0.0272	0.559126
THNSL2	0.0502	0.41631
THOC1	-0.302	0.190326
THOC2	-0.12	0.450063
THOC5	0.324	0.033623
THOC6	-0.0158	1
THOC7	-0.186	0.18305
THOP1	0.00638	1
THPO	-1.33E-14	1
THRA	0.0124	0.700505
THRAP3	-0.0121	0.856859
THRB	0.000852	1
THRSP	-0.00195	1
THSD4	-1.33E-14	1
THSD7A	-0.0000787	0.973339
THSD7B	0.00202	0.477159
THTPA	-0.155	0.425547
THUMPD1	-0.307	0.12612
THUMPD2	-0.232	0.053446
THUMPD3	-0.113	0.23028
THUMPD3-AS1	-0.231	0.078688
THY1	0.000467	0.886483
THYN1	-0.123	0.576398
TIA1	-0.335	0.046903
TIAL1	-0.0192	0.658963
TIAM1	-0.134	0.639782
TIAM2	-0.0142	1
TICAM1	0.221	0.082998
TICRR	0.00242	0.953585
TIE1	0.00281	0.98734
TIFA	0.189	0.442726
TIFAB	0.00362	0.677709
TIGAR	-0.136	0.498488
TIGD1	-0.357	0.078109
TIGD2	-0.231	0.219974
TIGD3	-0.217	0.566973
TIGD4	-0.00169	1
TIGD5	0.0103	1
TIGD6	0.00665	0.801416
TIGD7	-0.122	0.511681
TIGIT	-0.0256	1
TIMD4	0.000937	0.5935
TIMELESS	-0.000369	1
TIMM10	-0.182	0.545433
TIMM10B	-0.103	0.694504
TIMM13	-0.0112	1
TIMM17A	-0.155	0.197445
TIMM17B	0.103	0.552767
TIMM21	-0.267	0.109536
TIMM22	-0.0464	0.880945
TIMM23	-0.109	0.70556
TIMM44	0.0304	0.867484
TIMM50	-0.0976	0.827479
TIMM8A	-0.0909	0.299891
TIMM8B	-0.183	0.35328
TIMM9	-0.307	0.242058
TIMMDC1	-0.109	0.402834
TIMP1	0.351	0.023489
TIMP2	0.181	0.382171
TIMP3	-1.33E-14	1
TIMP4	-0.0000113	1
TINAG	-0.000054	1
TINAGL1	-0.0286	0.796788
TINCR	-0.00589	0.832319
TINF2	0.175	0.007074
TIPARP	0.272	0.07759
TIPARP-AS1	0.000578	0.57808
TIPIN	0.0403	0.838234
TIPRL	0.0237	0.912037
TIRAP	-0.00284	0.907409
TJAP1	0.0216	0.658201
TJP1	0.00191	0.544514
TJP2	0.0158	0.980122
TJP3	0.00145	1
TK1	-0.0953	0.692767
TK2	0.136	0.052881
TKFC	-0.000958	1
TKT	0.0284	0.907352
TKTL1	0.0797	0.786707
TKTL2	-1.33E-14	1
TLCD1	-0.00426	0.824683
TLCD2	0.0248	0.229836
TLDC1	0.000833	1
TLDC2	-0.004	0.883387
TLE1	-0.0451	0.774256
TLE2	0.0243	0.884399
TLE3	0.357	0.049719
TLE4	-0.0409	0.842939
TLE6	-1.33E-14	1
TLK1	-0.0742	0.574608
TLK2	-0.0337	0.833644
TLL2	-1.33E-14	1
TLN1	0.322	0.336839
TLN2	-0.0000955	1
TLR1	0.147	0.256165
TLR10	-0.0889	0.711447
TLR2	0.0367	0.979533
TLR3	-0.00146	0.709977
TLR4	0.0629	0.914251
TLR5	0.456	0.020384
TLR6	0.0573	0.874389
TLR7	-0.157	0.696419
TLR8	0.0918	0.744657
TLR8-AS1	-0.00732	0.771441
TLR9	0.108	0.336088
TLX1	-0.00364	0.794217
TLX2	0.00454	0.582641
TLX3	-0.00772	0.967004
TM2D1	-0.219	0.078707
TM2D2	-0.0388	0.912756
TM2D3	-0.198	0.076142
TM4SF1	-1.33E-14	1
TM4SF18	-1.33E-14	1
TM4SF20	-0.00379	0.901281
TM4SF4	-1.33E-14	1
TM4SF5	-0.0189	0.601561
TM6SF1	-0.118	0.737961
TM6SF2	-0.00324	0.97562
TM7SF2	-0.0347	0.982284
TM7SF3	-0.104	0.454926
TM9SF1	0.175	0.121549
TM9SF2	-0.0417	0.777225
TM9SF3	-0.229	0.107978
TM9SF4	0.101	0.665592
TMA16	-0.147	0.192173
TMBIM1	0.0744	0.46093
TMBIM4	-0.137	0.093218
TMBIM6	0.0835	0.189475
TMC1	-0.0000284	1
TMC2	-0.00502	0.79741
TMC4	-0.0609	0.849018
TMC5	0.0186	0.921162
TMC6	-0.127	0.494907
TMC7	0.00222	1
TMC8	-0.0755	0.710911
TMCC1	0.0259	0.994893
TMCC2	0.00452	1
TMCC3	0.0124	1
TMCO1	-0.365	0.096294
TMCO2	-0.0000775	0.975162
TMCO3	0.13	0.772509
TMCO4	-0.00163	1
TMCO5A	-1.33E-14	1
TMCO6	0.0768	0.59856
TMED1	0.163	0.291832
TMED10	-0.151	0.181708
TMED2	-0.249	0.083782
TMED3	-0.0611	0.878375
TMED4	-0.0789	0.832617
TMED5	-0.126	0.36865
TMED6	-0.00318	0.906003
TMED7	-0.276	0.128257
TMED8	-0.00562	1
TMED9	0.0314	0.917804
TMEFF1	0.000000115	1
TMEFF2	0.000617	0.501288
TMEM100	-1.33E-14	1
TMEM101	0.0138	1
TMEM102	0.0283	0.387835
TMEM104	0.102	0.291484
TMEM105	-0.00918	0.787282
TMEM106A	0.0939	0.72354
TMEM106B	-0.356	0.10034
TMEM106C	-0.0862	0.833675
TMEM107	-0.0186	0.748742
TMEM108	0.00532	0.21577
TMEM109	-0.0944	0.683364
TMEM11	0.047	0.783721
TMEM110	0.14	0.327732
TMEM115	0.125	0.309913
TMEM116	-0.344	0.061936
TMEM117	-0.0101	0.661497
TMEM119	0.0106	1
TMEM120A	0.376	0.050377
TMEM120B	0.00312	0.912756
TMEM121	-0.00000859	1
TMEM123	-0.489	0.043132
TMEM125	-1.33E-14	1
TMEM126A	-0.513	0.192405
TMEM126B	-0.212	0.61132
TMEM127	0.179	0.086786
TMEM128	-0.555	0.049719
TMEM129	-0.0074	0.987872
TMEM130	-1.33E-14	1
TMEM131	0.0484	0.692701
TMEM132A	-0.00994	0.757392
TMEM132B	-0.0023	0.853523
TMEM132C	-0.0192	0.745396
TMEM132D	0.0135	0.110585
TMEM132E	0.0181	0.832617
TMEM133	-5.93E-08	1
TMEM134	-0.169	0.463531
TMEM135	-0.522	0.137756
TMEM136	-0.000149	0.906003
TMEM138	-0.164	0.545974
TMEM139	0.00313	1
TMEM140	0.142	0.637618
TMEM141	0.0957	0.61132
TMEM143	0.00846	1
TMEM144	-0.00679	0.798981
TMEM145	-0.00223	0.999602
TMEM147	-0.0324	0.997963
TMEM147-AS1	-0.0241	0.704648
TMEM14A	-0.432	0.110361
TMEM14B	-0.298	0.050377
TMEM14C	-0.357	0.072949
TMEM150A	-0.0547	0.525207
TMEM151A	0.0104	0.795746
TMEM151B	-0.000538	0.77117
TMEM154	-0.12	0.276672
TMEM155	0.00507	0.972709
TMEM156	-0.186	0.058805
TMEM158	-0.0259	1
TMEM159	0.0307	0.793836
TMEM160	-0.0768	0.9147
TMEM161A	-0.0216	0.576398
TMEM161B	-0.298	0.092803
TMEM161B-AS1	-0.00343	0.679264
TMEM163	0.00693	0.458929
TMEM164	0.209	0.4282
TMEM165	0.0543	0.797692
TMEM167A	-0.114	0.576337
TMEM167B	-0.116	0.465675
TMEM168	-0.311	0.117799
TMEM169	0.0121	0.814538
TMEM17	-0.00127	0.975654
TMEM170A	-0.0932	0.380884
TMEM170B	-0.382	0.091543
TMEM171	-0.000028	1
TMEM173	0.0578	0.874852
TMEM174	0.00806	0.868403
TMEM175	0.043	0.674482
TMEM176A	0.535	0.570692
TMEM176B	0.463	0.706487
TMEM177	0.00314	1
TMEM178A	-0.00042	0.721144
TMEM179B	-0.0169	0.969843
TMEM18	-0.0756	0.614861
TMEM181	-0.375	0.163095
TMEM182	-1.33E-14	1
TMEM184A	-0.0354	0.503724
TMEM184B	0.0814	0.629539
TMEM184C	0.0382	0.685542
TMEM185A	-0.0336	0.832776
TMEM185B	0.386	0.10034
TMEM186	-0.0532	0.735765
TMEM187	-0.0857	0.505507
TMEM189	0.0153	0.988554
TMEM19	-0.196	0.429388
TMEM190	-0.0164	0.780933
TMEM192	-0.104	0.62906
TMEM196	-0.0000379	1
TMEM198	0.00305	0.954347
TMEM198B	0.0373	0.663772
TMEM199	-0.00343	1
TMEM2	0.147	0.354782
TMEM200A	-0.0331	0.601356
TMEM200B	-0.0577	0.946326
TMEM201	0.0141	0.495429
TMEM203	-0.151	0.398013
TMEM204	-0.266	0.404155
TMEM205	0.089	0.819625
TMEM206	-0.251	0.305286
TMEM207	0.00645	0.526741
TMEM208	0.0879	0.659474
TMEM209	-0.293	0.076797
TMEM212	0.00145	0.984497
TMEM213	0.000798	1
TMEM214	0.0218	1
TMEM216	-0.0543	0.844243
TMEM217	0.0135	0.504617
TMEM218	-0.27	0.223836
TMEM219	0.0139	1
TMEM220	0.0124	0.944971
TMEM221	-0.0000365	1
TMEM222	0.0396	0.829726
TMEM223	-0.143	0.733143
TMEM225	0.0124	0.159944
TMEM229B	0.0135	0.944358
TMEM230	-0.234	0.128257
TMEM231	-0.00609	0.602468
TMEM232	-0.00329	0.802782
TMEM234	0.283	0.080094
TMEM235	-0.00105	0.802545
TMEM237	-0.00727	0.422697
TMEM239	0.0436	0.28928
TMEM241	0.0625	0.760638
TMEM242	-0.000275	0.812326
TMEM243	-0.369	0.060294
TMEM245	-0.0765	0.869258
TMEM246	0.000541	1
TMEM248	0.0309	0.832617
TMEM25	0.0144	0.459584
TMEM251	-0.249	0.104691
TMEM252	0.0653	0.820447
TMEM254	-0.0286	0.850918
TMEM254-AS1	-0.00562	0.883717
TMEM255A	-0.0964	0.70883
TMEM255B	0.202	0.625058
TMEM256	-0.146	0.751279
TMEM257	-0.00000592	1
TMEM258	-0.138	0.469753
TMEM259	-0.0506	0.675763
TMEM260	0.218	0.387818
TMEM261	-0.352	0.102482
TMEM263	-0.569	0.077178
TMEM266	-0.0000583	0.999344
TMEM27	0.00233	0.783413
TMEM30A	-0.174	0.436538
TMEM30B	-1.33E-14	1
TMEM31	-0.00606	0.612047
TMEM33	-0.0471	0.825778
TMEM35	-0.000131	0.899687
TMEM37	-0.0000607	0.994893
TMEM38B	-0.0896	0.615249
TMEM39A	-0.125	0.309913
TMEM39B	-0.00685	1
TMEM40	0.201	0.4069
TMEM41A	-0.0315	0.931132
TMEM41B	-0.26	0.142684
TMEM42	-0.25	0.177822
TMEM43	0.106	0.723506
TMEM44	0.00895	0.64413
TMEM44-AS1	0.058	0.789078
TMEM45A	-0.365	0.336088
TMEM45B	-0.0807	0.920097
TMEM47	-1.33E-14	1
TMEM5	-0.0206	0.988731
TMEM50A	0.0171	0.933156
TMEM50B	-0.381	0.215784
