Gene	deGoede2017.padj	deGoede2017.logFC
SUCLG2	0.755	-0.0114
SUCNR1	0.596	-0.0179
SUCO	0.336	-0.00965
SUDS3	0.99	-0.0333
SUFU	0.99	-0.0121
SUGCT	0.0111	0.103
SUGP1	0.99	-0.00471
SUGP2	0.899	-0.0041
SUGT1	0.95	-0.0038
SUGT1P1	0.99	0.00718
SULF1	0.621	-0.0594
SULF2	0.99	-0.00616
SULT1A1	0.99	-0.00474
SULT1A2	0.99	-0.026
SULT1B1	0.605	-0.0407
SULT1C2	0.99	-0.0301
SULT1C2P1	0.99	-0.0214
SULT1C3	0.99	-0.0115
SULT1C4	0.99	-0.0233
SULT1E1	0.99	-0.0242
SULT2A1	0.99	-0.0164
SULT2B1	0.959	-0.0114
SULT4A1	0.959	-0.03
SULT6B1	0.99	-0.0264
SUMF1	0.366	0.0105
SUMO1	0.463	0.0282
SUMO1P1	0.99	0.038
SUMO2	0.99	-0.00353
SUMO3	0.99	0.00521
SUN1	0.853	-0.00927
SUN2	0.99	-0.0696
SUN3	0.99	-0.0146
SUN5	0.99	-0.0123
SUOX	0.99	-0.00928
SUPT16H	0.771	0.0347
SUPT20H	0.715	-0.00565
SUPT3H	0.616	-0.00455
SUPT5H	0.176	-0.00764
SUPT6H	0.99	0.00107
SUPT7L	0.9	-0.013
SUPV3L1	0.144	-0.0366
SURF1	0.99	0.00065
SURF2	0.651	0.0295
SURF4	0.948	-0.00775
SURF6	0.99	-0.0105
SUSD2	0.99	-0.0104
SUSD3	0.99	-0.00773
SUSD4	0.969	0.00998
SUSD5	0.99	0.00254
SUSD6	0.976	-0.00349
SUV39H2	0.77	-0.0117
SUZ12	0.99	0.00102
SUZ12P1	0.0753	-0.00783
SV2A	0.99	-0.00098
SV2B	0.0497	-0.0156
SV2C	0.742	-0.00574
SVBP	0.96	-0.00391
SVEP1	0.664	0.0337
SVIL	0.000405	-0.102
SVIP	0.952	0.00491
SVOP	0.99	0.00723
SVOPL	0.99	-0.0191
SWAP70	0.99	0.00188
SWI5	0.99	0.00198
SWSAP1	0.99	-0.00172
SWT1	0.99	0.000876
SYBU	0.107	-0.0329
SYCE1	0.335	0.0565
SYCE1L	0.99	0.013
SYCE2	0.913	0.0285
SYCE3	0.99	-0.00173
SYCN	0.824	-0.0369
SYCP1	0.329	-0.0305
SYCP2	0.99	-0.0122
SYCP2L	0.796	-0.0166
SYCP3	0.99	0.0102
SYDE1	0.429	0.025
SYDE2	0.361	0.0188
SYF2	0.963	0.011
SYK	0.747	-0.0427
SYMPK	0.99	0.000649
SYN2	0.99	-0.0175
SYN3	0.082	0.028
SYNC	0.99	0.029
SYNCRIP	0.357	-0.0107
SYNDIG1	0.76	-0.0519
SYNDIG1L	0.788	-0.0577
SYNE1	0.581	0.0377
SYNE2	0.768	0.0204
SYNE3	0.99	-0.0371
SYNE4	0.99	0.00805
SYNGAP1	0.592	-0.0264
SYNGR2	0.99	-0.000914
SYNGR3	0.865	0.0172
SYNGR4	0.99	-0.03
SYNJ1	0.99	-0.00175
SYNJ2	0.99	-0.012
SYNJ2BP-COX16	0.0675	-0.0991
SYNM	0.179	-0.0102
SYNPO	0.515	0.032
SYNPO2	0.0295	-0.236
SYNPO2L	0.817	-0.0191
SYNPR	0.761	-0.057
SYNRG	0.79	-0.00334
SYPL1	0.835	-0.008
SYPL2	0.99	-0.0106
SYS1	0.99	-0.00121
SYS1-DBNDD2	0.99	0.0212
SYT1	0.713	0.0401
SYT10	0.14	-0.0357
SYT11	0.99	-0.00669
SYT12	0.0444	-0.0307
SYT13	0.0135	0.0741
SYT14	0.866	-0.0185
SYT15	0.266	0.0355
SYT16	0.99	-0.0201
SYT17	0.99	-0.0148
SYT2	0.317	0.0435
SYT3	0.376	-0.0114
SYT4	0.631	-0.0494
SYT5	0.806	-0.0639
SYT6	0.0295	-0.0645
SYT7	0.171	0.0267
SYT8	0.958	-0.0909
SYT9	0.99	0.0012
SYTL1	0.554	0.0986
SYTL2	0.861	-0.0046
SYTL3	0.99	-0.0232
SYVN1	0.99	0.00149
SZRD1	0.121	-0.0846
SZT2	0.0263	-0.0377
T	0.721	-0.00895
TAAR1	0.99	-0.0274
TAAR2	0.99	-0.00922
TAAR3	0.99	-0.0277
TAAR5	0.76	0.0712
TAAR6	0.99	0.0149
TAAR8	0.99	0.00387
TAB1	0.308	0.0524
TAB2	0.99	0.00351
TAC1	0.823	-0.0196
TAC3	0.99	-0.0113
TAC4	0.99	-0.0218
TACC1	0.733	0.0338
TACC2	0.0427	-0.0662
TACC3	0.554	-0.073
TACO1	0.99	-0.002
TACR1	0.172	-0.0236
TACR2	0.901	0.0671
TACR3	0.906	-0.0162
TACSTD2	0.277	0.168
TADA1	0.982	0.0963
TADA2A	0.822	-0.0061
TADA2B	0.99	0.00973
TADA3	0.99	-0.00231
TAF10	0.99	0.00246
TAF11	0.99	-0.00136
TAF12	0.598	-0.0172
TAF13	0.847	-0.00875
TAF15	0.99	0.00531
TAF1A	0.982	0.0377
TAF1B	0.461	-0.0417
TAF1C	0.99	-0.0132
TAF1D	0.99	0.00418
TAF1L	0.99	0.0143
TAF2	0.99	0.0174
TAF3	0.976	-0.00514
TAF4	0.786	0.0417
TAF4B	0.99	-0.00225
TAF5	0.647	0.0241
TAF5L	0.99	-0.0041
TAF6	0.0859	0.023
TAF6L	0.98	-0.00564
TAF7	0.556	0.0452
TAF8	0.216	-0.0385
TAF9	0.99	0.0191
TAGAP	0.733	-0.00573
TAGLN	0.99	-0.00257
TAGLN2	0.514	-0.00849
TAGLN3	0.0388	0.0709
TAL1	0.972	0.00852
TAL2	0.99	-0.00285
TALDO1	0.54	-0.00403
TAMM41	0.333	0.0469
TANC1	0.415	-0.00753
TANC2	0.99	-0.0157
TANGO2	0.976	-0.0391
TANGO6	0.0427	-0.037
TANK	0.0178	-0.125
TAOK1	0.99	-0.00297
TAOK3	0.99	-0.002
TAP1	0.0367	-0.0616
TAP2	0.217	-0.0361
TAPBP	0.445	0.0161
TAPBPL	0.99	-0.00161
TAPT1	0.99	-0.0536
TAPT1-AS1	0.88	0.0176
TARBP1	0.99	-0.00659
TARBP2	0.99	-0.000776
TARDBP	0.0434	-0.0652
TARM1	0.99	-0.0249
TARP	0.289	-0.0425
TARS	0.659	0.00831
TARS2	0.99	-0.00178
TARSL2	0.888	0.0254
TAS1R1	0.99	-0.0101
TAS1R2	0.85	-0.0512
TAS1R3	0.99	-0.00714
TAS2R1	0.99	-0.0356
TAS2R10	0.99	-0.00622
TAS2R16	0.99	-0.0182
TAS2R3	0.99	-0.0134
TAS2R38	0.99	-0.0036
TAS2R39	0.99	-0.0106
TAS2R4	0.99	-0.0255
TAS2R40	0.99	-0.0164
TAS2R5	0.99	0.0318
TAS2R7	0.99	-0.0193
TAS2R8	0.99	0.0146
TAS2R9	0.99	-0.0118
TASP1	0.99	0.00315
TAT	0.556	-0.0483
TATDN1	0.99	-0.000801
TATDN2	0.0675	-0.0845
TATDN3	0.99	0.0158
TAX1BP1	0.981	-0.00601
TBATA	0.99	-0.00891
TBC1D1	0.67	0.0351
TBC1D10A	0.99	-0.00821
TBC1D10B	0.892	-0.0158
TBC1D12	0.288	-0.0718
TBC1D13	0.99	-0.000645
TBC1D14	0.196	-0.00643
TBC1D15	0.659	-0.0252
TBC1D16	0.176	-0.121
TBC1D17	0.99	-0.00742
TBC1D19	0.678	-0.00472
TBC1D2	0.921	-0.0263
TBC1D20	0.99	0.000838
TBC1D21	0.99	-0.0228
TBC1D22A	0.815	0.0986
TBC1D22B	0.866	-0.00753
TBC1D23	0.855	-0.00777
TBC1D24	0.99	-0.00933
TBC1D26	0.99	-0.0064
TBC1D28	0.99	-0.00362
TBC1D29	0.99	0.0212
TBC1D2B	0.843	-0.00422
TBC1D3	0.99	0.0168
TBC1D30	0.727	-0.00967
TBC1D31	0.42	0.0171
TBC1D32	0.0585	-0.0743
TBC1D3B	0.99	0.00559
TBC1D3P1-DHX40P1	0.99	-0.00613
TBC1D3P2	0.99	-0.00583
TBC1D3P5	0.99	-0.0204
TBC1D4	0.99	-0.00392
TBC1D5	0.972	0.0718
TBC1D7	0.99	-0.00276
TBC1D8	0.99	-0.00334
TBC1D9	0.0119	0.079
TBC1D9B	0.649	-0.0073
TBCA	0.631	0.029
TBCB	0.856	0.0412
TBCC	0.937	-0.00575
TBCCD1	0.912	-0.011
TBCD	0.187	0.0285
TBCE	0.99	-0.0176
TBCEL	0.935	-0.00589
TBCK	0.938	-0.00486
TBK1	0.802	0.0203
TBKBP1	0.728	0.0638
TBL1XR1	0.898	-0.0527
TBL2	0.99	-0.00585
TBL3	0.755	-0.00796
TBP	0.832	0.0101
TBPL1	0.835	-0.00598
TBPL2	0.99	0.022
TBR1	0.0795	-0.0138
TBRG1	0.99	-0.000597
TBRG4	0.902	-0.00473
TBX1	0.00588	0.055
TBX10	0.982	-0.0822
TBX15	0.0485	0.0285
TBX18	0.082	0.0267
TBX19	0.99	-0.0124
TBX2	0.603	-0.00754
TBX20	0.111	0.0187
TBX21	0.173	0.0304
TBX3	0.0244	0.0384
TBX4	0.668	-0.0731
TBX5	0.266	-0.0864
TBX5-AS1	0.639	0.0268
TBXA2R	0.99	-0.00458
TBXAS1	0.135	-0.00868
TC2N	0.99	-0.0211
TCAF1	0.254	-0.0078
TCAF2	0.99	0.00104
TCAIM	0.747	-0.0371
TCAM1P	0.99	-0.0302
TCAP	0.733	0.0361
TCEA1	0.99	-0.00227
TCEA2	8.10E-05	0.07
TCEA3	0.106	0.077
TCEANC2	0.705	-0.108
TCEB1	0.99	0.00872
TCEB2	0.99	0.0098
TCEB3	0.285	-0.00878
TCEB3-AS1	0.99	-0.00136
TCERG1	0.847	0.0156
TCERG1L	0.106	-0.0356
TCF12	0.99	0.0164
TCF15	0.99	-0.0169
TCF19	0.329	0.0157
TCF20	0.99	0.00235
TCF21	0.504	0.0217
TCF23	0.99	-0.00718
TCF24	0.419	-0.028
TCF25	0.598	-0.0249
TCF3	0.147	-0.0812
TCF4	0.982	-0.0104
TCF7	0.233	-0.0143
TCF7L1	0.131	-0.0142
TCF7L2	0.898	-0.068
TCFL5	0.99	-0.00603
TCHH	0.288	-0.0294
TCHHL1	0.907	-0.0336
TCHP	0.99	0.00419
TCIRG1	0.862	-0.00762
TCL1A	0.901	-0.0329
TCL1B	0.985	-0.0403
TCL6	0.99	-0.0154
TCN1	0.99	-0.0307
TCN2	0.923	-0.0102
TCOF1	0.957	0.0268
TCP1	0.99	-0.0032
TCP10	0.388	-0.00744
TCP10L	0.161	0.0706
TCP10L2	0.472	-0.0581
TCP11	0.729	0.0431
TCP11L1	0.162	-0.0275
TCP11L2	0.99	-0.00258
TCTA	0.0422	-0.0465
TCTE3	0.99	0.000679
TCTEX1D1	0.99	0.00154
TCTEX1D2	0.99	-0.000888
TCTEX1D4	0.99	-0.00428
TCTN1	0.687	0.0934
TCTN2	0.99	-0.00441
TCTN3	0.99	0.0265
TDG	0.65	0.0823
TDGF1	0.99	-0.0215
TDH	0.86	-0.079
TDO2	0.99	-0.0181
TDP1	0.596	0.0145
TDP2	0.971	-0.00414
TDRD1	0.982	0.0349
TDRD10	0.99	0.00985
TDRD12	0.99	-0.00976
TDRD3	0.59	-0.00815
TDRD5	0.277	-0.0618
TDRD6	0.99	-0.0272
TDRD7	0.99	-0.0024
TDRD9	0.61	-0.0462
TDRG1	0.99	-0.0101
TDRKH	0.99	-0.00193
TDRP	0.912	0.0498
TEAD1	0.0726	-0.0561
TEAD2	0.99	-0.0395
TEAD3	0.000358	0.0872
TEAD4	0.99	0.014
TEC	0.99	-0.00619
TECPR1	0.82	-0.0348
TECPR2	0.99	-0.00273
TECR	0.99	-0.00995
TECRL	0.825	-0.0889
TECTA	0.99	-0.0358
TECTB	0.99	-0.0054
TEDDM1	0.99	-0.0144
TEF	0.479	-0.0732
TEFM	0.938	0.0115
TEK	0.972	0.0333
TEKT1	0.99	-0.00371
TEKT2	0.99	0.0387
TEKT3	0.322	0.0256
TEKT5	0.585	-0.052
TELO2	0.546	-0.00606
TENM2	0.247	0.0459
TENM3	0.565	0.00998
TENM4	0.387	0.0421
TEP1	0.742	-0.0239
TEPP	0.521	0.0481
TEPSIN	0.99	0.0016
TERB1	0.99	-0.00682
TERB2	0.99	-0.0205
TERC	0.99	-0.0041
TERF1	0.99	-0.00385
TERF2	0.679	-0.0101
TERF2IP	0.531	0.0648
TERT	0.375	0.12
TES	0.747	-0.00393
TESC	0.984	-0.0045
TESK1	0.99	-0.00867
TESK2	0.361	0.0201
TESMIN	0.365	-0.0124
TESPA1	0.126	-0.0729
TET1	0.722	0.0329
TET2	0.95	-0.0168
TET3	0.778	0.0426
TEX10	0.99	-0.00295
TEX101	0.99	-0.033
TEX12	0.522	-0.0426
TEX14	0.699	-0.0317
TEX15	0.267	-0.0674
TEX19	0.138	-0.0746
TEX2	0.385	-0.0256
TEX21P	0.99	-0.0125
TEX22	0.643	-0.00527
TEX26	0.0574	0.0495
TEX26-AS1	0.00402	0.0589
TEX261	0.99	-0.00632
TEX264	0.99	-0.000966
TEX29	0.532	-0.0137
TEX30	0.244	-0.0506
TEX33	0.99	-0.0128
TEX35	0.937	-0.00617
TEX36	0.426	-0.0408
TEX36-AS1	0.79	-0.0419
TEX37	0.99	-0.00998
TEX41	0.99	-0.0213
TEX43	0.954	0.0288
TEX9	0.99	0.000419
TF	0.693	0.0323
TFAM	0.752	-0.00566
TFAMP1	0.462	-0.0281
TFAP2A	0.000676	0.085
TFAP2B	0.0996	0.0437
TFAP2C	0.0265	-0.0678
TFAP2D	0.458	-0.031
TFAP4	0.685	0.0169
TFB1M	0.99	-0.0247
TFB2M	0.99	-0.0017
TFCP2	0.763	-0.0102
TFCP2L1	0.445	-0.00748
TFDP1	0.806	-0.00932
TFDP2	0.983	0.0647
TFEB	0.99	-0.0177
TFEC	0.782	-0.0606
TFF1	0.99	-0.018
TFF2	0.99	-0.00606
TFF3	0.99	-0.0157
TFG	0.753	-0.00618
TFIP11	0.425	0.0499
TFPI	0.22	-0.0282
TFPT	0.0828	-0.0525
TFR2	0.74	0.0557
TFRC	0.742	-0.0471
TG	0.937	-0.102
TGDS	0.459	0.0126
TGFA	0.99	-0.00436
TGFB1	0.99	-0.000827
TGFB1I1	0.954	0.00817
TGFB2	0.0108	-0.154
TGFB2-AS1	0.99	-0.0121
TGFB3	0.0666	-0.0253
TGFBI	0.99	-0.0258
TGFBR1	0.99	-0.00411
TGFBR2	0.99	-0.0107
TGFBR3	0.0247	-0.0933
TGFBR3L	0.0739	-0.0717
TGFBRAP1	0.936	-0.0231
TGIF1	0.909	-0.00772
TGIF2	0.739	0.0412
TGIF2-C20orf24	0.99	-0.000855
TGM1	0.99	-0.015
TGM2	0.99	0.000767
TGM3	0.99	-0.019
TGM4	0.99	-0.028
TGM5	0.99	-0.0342
TGM6	0.99	-0.0238
TGM7	0.703	-0.0198
TGOLN2	0.99	-0.0582
TGS1	0.99	0.00394
TH	0.856	-0.00937
THADA	0.0693	-0.0725
THAP1	0.795	-0.0464
THAP12	0.99	0.015
THAP2	0.403	0.0137
THAP3	0.563	-0.0135
THAP4	0.205	-0.0102
THAP5	0.99	0.0167
THAP6	0.952	-0.00505
THAP7	0.77	-0.00394
THAP7-AS1	0.912	0.0146
THAP8	0.744	-0.00997
THAP9	0.999	5.21E-05
THBD	0.99	-0.00311
THBS1	0.99	-0.00861
THBS2	0.0874	0.0523
THBS3	0.18	0.0519
THBS4	0.526	-0.0438
THEG	0.869	-0.0575
THEG5	0.99	0.0106
THEGL	0.827	-0.0246
THEM4	0.465	-0.00546
THEM5	0.99	-0.0165
THEM6	0.99	-0.0426
THEMIS	0.99	-0.0268
THEMIS2	0.823	-0.00379
THG1L	0.682	0.0112
THNSL2	0.99	-0.0123
THOC1	0.99	-0.00412
THOC3	0.99	-0.0119
THOC5	0.99	-0.000891
THOC6	0.827	-0.0238
THOC7	0.99	-0.00223
THOP1	0.99	-0.0131
THPO	0.99	0.0173
THRA	0.99	-0.00564
THRAP3	0.354	-0.0186
THRB	0.352	0.0639
THRB-AS1	0.576	0.0838
THSD1	0.99	-0.0177
THSD4	0.329	0.0588
THSD7A	0.131	0.132
THSD7B	0.843	-0.00736
THTPA	0.99	-0.00699
THUMPD1	0.99	-0.00212
THUMPD2	0.444	-0.0224
THUMPD3-AS1	0.731	0.00498
THYN1	0.791	-0.0335
TIA1	0.758	-0.00871
TIAL1	0.937	-0.00454
TIAM1	0.895	-0.00864
TIAM2	0.116	0.0815
TICAM1	0.737	-0.0168
TICRR	0.0884	-0.059
TIE1	0.99	-0.0112
TIFA	0.99	-0.013
TIFAB	0.00466	0.0756
TIGAR	0.708	-0.00465
TIGD1	0.99	0.00102
TIGD2	0.99	0.0209
TIGD3	0.99	-0.017
TIGD4	0.99	-0.000536
TIGD5	0.99	-0.00646
TIGD6	0.918	-0.00835
TIGD7	0.99	0.0123
TIGIT	0.99	0.00424
TIMD4	0.0743	-0.0558
TIMELESS	0.881	-0.00446
TIMM10	0.99	0.00322
TIMM10B	0.793	0.00975
TIMM13	0.99	-0.0106
TIMM17A	0.99	0.0041
TIMM21	0.99	-0.000811
TIMM22	0.893	-0.00762
TIMM44	0.99	-0.0204
TIMM50	0.394	-0.0256
TIMM8B	0.99	-0.00467
TIMM9	0.99	-0.0022
TIMMDC1	0.99	-0.00203
TIMP2	0.198	-0.057
TINAG	0.99	-0.00924
TINAGL1	0.99	-0.00701
TINCR	0.99	0.0142
TINF2	0.894	-0.00474
TIPARP	0.99	-0.0337
TIPARP-AS1	0.99	-0.0049
TIPIN	0.722	-0.0169
TIPRL	0.99	0.0248
TIRAP	0.99	-0.00337
TJAP1	0.954	-0.0282
TJP1	0.475	0.0157
TJP2	0.99	-0.0401
TJP3	0.506	-0.0257
TK1	0.99	-0.00377
TK2	0.751	-0.0346
TKFC	0.99	-0.0314
TKT	0.99	0.00454
TKTL2	0.99	-0.012
TLCD1	0.522	-0.00679
TLCD2	0.99	0.00458
TLDC1	0.154	-0.104
TLDC2	0.99	-0.0132
TLE1	9.91E-06	0.147
TLE2	0.987	-0.00756
TLE3	0.573	-0.0377
TLE4	0.816	-0.00698
TLE6	0.00357	0.0633
TLK1	0.99	-0.00636
TLK2	0.682	-0.0106
TLL1	0.826	-0.00878
TLL2	0.24	0.0505
TLN1	0.99	-0.00904
TLN2	0.99	-0.0191
TLR1	0.99	-0.0137
TLR10	0.99	-0.00531
TLR2	0.865	-0.00647
TLR3	0.000394	-0.12
TLR4	0.24	-0.0201
TLR5	0.465	-0.0375
TLR6	0.99	-0.016
TLR9	0.99	-0.0138
TLX1	0.137	-0.0157
TLX1NB	0.368	-0.0109
TLX2	0.99	0.00628
TLX3	0.444	-0.0304
TM2D1	0.43	-0.00634
TM2D2	0.923	0.00387
TM2D3	0.581	-0.00653
TM4SF1	0.99	-0.00934
TM4SF18	0.99	-0.0153
TM4SF19-TCTEX1D2	0.99	0.00138
TM4SF20	0.99	0.00727
TM4SF4	0.914	-0.0405
TM4SF5	0.202	-0.0595
TM6SF1	0.99	-0.00858
TM7SF2	0.604	-0.00745
TM7SF3	0.99	-0.00466
TM9SF1	0.835	-0.0204
TM9SF2	0.0054	-0.0794
TM9SF3	0.99	-0.00463
TM9SF4	0.99	0.00158
TMA16	0.911	-0.00543
TMA7	0.823	-0.00482
TMBIM4	0.99	-0.018
TMBIM6	0.454	-0.0575
TMC1	0.99	-0.00715
TMC2	0.0675	-0.047
TMC3	0.782	0.0999
TMC4	0.172	0.0315
TMC5	0.99	-0.00978
TMC6	0.99	-0.0281
TMC7	0.765	-0.00514
TMC8	0.99	0.0152
TMCC1	0.806	-0.00648
TMCC1-AS1	0.99	-0.012
TMCC2	0.741	-0.028
TMCC3	0.99	-0.0157
TMCO1	0.99	-0.00393
TMCO2	0.99	-0.00628
TMCO3	0.129	0.175
TMCO4	0.99	-0.0212
TMCO5A	0.99	-0.0268
TMCO5B	0.99	-0.00858
TMCO6	0.247	-0.0455
TMED1	0.699	-0.0544
TMED10	0.34	-0.00919
TMED11P	0.99	0.013
TMED2	0.99	-0.00106
TMED3	0.444	0.0368
TMED4	0.99	0.00242
TMED5	0.415	-0.00626
TMED6	0.99	0.00516
TMED7-TICAM2	0.698	-0.0337
TMED8	0.464	-0.007
TMED9	0.99	-0.00992
TMEFF2	0.648	-0.00463
TMEM100	0.00106	0.081
TMEM101	0.99	-0.0048
TMEM102	0.0832	0.0466
TMEM104	0.99	0.00247
TMEM105	0.0456	0.0871
TMEM106A	0.99	0.00313
TMEM106B	0.99	0.017
TMEM106C	0.99	-0.0383
TMEM107	0.99	0.00149
TMEM108	0.761	-0.0249
TMEM109	0.99	-0.00396
TMEM11	0.733	-0.00523
TMEM110-MUSTN1	0.756	-0.115
TMEM114	0.99	-0.00627
TMEM115	0.0716	0.0184
TMEM116	0.99	-0.000502
TMEM117	0.272	-0.108
TMEM119	0.83	0.046
TMEM120A	0.99	0.000903
TMEM120B	0.451	-0.0109
TMEM121	0.133	-0.0316
TMEM123	0.666	-0.00518
TMEM125	0.99	-0.0192
TMEM126A	0.99	0.000595
TMEM126B	0.99	-0.00596
TMEM127	0.0214	-0.0405
TMEM128	0.888	-0.0352
TMEM129	0.99	-0.00525
TMEM130	0.701	-0.0389
TMEM131	0.51	-0.0496
TMEM132A	0.493	-0.0188
TMEM132B	0.721	0.0104
TMEM132C	0.657	-0.0448
TMEM132D	0.279	-0.0402
TMEM132E	0.157	-0.00738
TMEM133	0.99	0.06
TMEM134	0.00523	-0.0432
TMEM135	0.99	-0.00202
TMEM136	0.99	-0.0173
TMEM138	0.835	0.00848
TMEM139	0.972	0.00695
TMEM141	0.902	-0.00964
TMEM143	0.99	0.0029
TMEM144	0.99	0.0107
TMEM145	0.082	-0.0541
TMEM147-AS1	0.99	-0.00198
TMEM14A	0.118	-0.0107
TMEM14C	0.99	-0.00355
TMEM150A	0.99	-0.00226
TMEM150B	0.99	-0.023
TMEM150C	0.99	-0.0043
TMEM151A	0.99	-0.00474
TMEM151B	0.489	-0.0479
TMEM154	0.99	0.0232
TMEM155	0.932	-0.0211
TMEM156	0.99	-0.0101
TMEM158	0.317	-0.0462
TMEM159	0.99	-0.032
TMEM160	0.739	-0.0233
TMEM161A	0.99	-0.0036
TMEM161B	0.99	-0.0179
TMEM161B-AS1	0.99	0.0287
TMEM163	0.904	-0.0112
TMEM165	0.99	-0.00196
TMEM167A	0.596	-0.0211
TMEM167B	0.464	-0.0137
TMEM168	0.99	-0.000557
TMEM169	0.99	-0.00364
TMEM17	0.0216	0.0542
TMEM170A	0.99	-0.00566
TMEM170B	0.99	-0.00127
TMEM171	0.417	-0.0115
TMEM173	0.0511	-0.045
TMEM174	0.0335	-0.0525
TMEM175	0.99	0.00533
TMEM176A	0.99	-0.0434
TMEM176B	0.0869	0.0427
TMEM177	0.691	-0.0628
TMEM178A	0.824	0.0308
TMEM178B	0.99	0.00496
TMEM179	0.241	-0.0642
TMEM179B	0.99	0.00146
TMEM18	0.000887	-0.104
TMEM181	0.853	-0.0441
TMEM182	0.463	-0.0405
TMEM183A	0.747	-0.00544
TMEM184A	0.179	-0.0456
TMEM184B	0.99	-0.00504
TMEM184C	0.99	-0.0137
TMEM185B	0.99	-0.00367
TMEM186	0.99	0.00267
TMEM189	0.822	0.0163
TMEM189-UBE2V1	0.34	-0.0149
TMEM19	0.584	-0.0128
TMEM190	0.336	0.0536
TMEM191A	0.99	-0.00565
TMEM191B	0.99	-0.00395
TMEM191C	0.855	-0.0145
TMEM192	0.99	-0.00736
TMEM196	0.99	-0.0252
TMEM198	0.845	-0.0234
TMEM2	0.99	0.00452
TMEM200A	0.99	-0.00509
TMEM200B	0.165	0.0306
TMEM200C	0.399	-0.0538
TMEM201	0.937	-0.0743
TMEM202	0.99	-0.0151
TMEM203	0.99	-0.00539
TMEM205	0.989	-0.0638
TMEM206	0.832	-0.00518
TMEM207	0.99	0.00348
TMEM208	0.99	-0.00353
TMEM209	0.0123	0.0467
TMEM211	0.99	-0.0271
TMEM212	0.99	-0.0129
TMEM213	0.99	0.0308
TMEM214	0.871	-0.00646
TMEM215	0.402	-0.0141
TMEM216	0.134	-0.0976
TMEM217	0.0879	0.0273
TMEM218	0.727	-0.0163
TMEM220	0.99	-0.0173
TMEM220-AS1	0.99	0.00833
TMEM221	0.99	-0.00186
TMEM222	0.711	-0.0447
TMEM223	0.99	-0.00155
TMEM225	0.99	-0.0154
TMEM229A	0.174	-0.0873
TMEM229B	0.99	-0.0156
TMEM230	0.495	-0.00573
TMEM231	0.855	0.00398
TMEM232	0.99	-0.032
TMEM233	0.99	0.00456
TMEM234	0.99	-0.00362
TMEM235	0.231	0.0519
TMEM236	0.99	-0.00737
TMEM237	0.653	-0.00532
TMEM238	0.99	0.00758
TMEM239	0.459	-0.0956
TMEM240	0.99	-0.0121
TMEM241	0.99	-0.0129
TMEM242	0.99	-0.0408
TMEM243	0.121	-0.0498
TMEM245	0.99	0.0232
TMEM246	0.99	-0.00251
TMEM247	0.99	-0.0126
TMEM248	0.323	-0.0221
TMEM249	0.888	-0.0256
TMEM25	0.51	-0.0613
TMEM251	0.99	-0.0825
TMEM252	0.918	0.0256
TMEM254	0.99	-0.002
TMEM254-AS1	0.491	-0.00848
TMEM256-PLSCR3	0.818	-0.00383
TMEM258	0.582	0.0132
TMEM259	0.99	-0.0102
TMEM26	0.99	-0.0174
TMEM260	0.965	-0.0079
TMEM261	0.99	-0.013
TMEM262	0.99	-0.0304
TMEM263	0.415	-0.0102
TMEM266	0.135	-0.0793
TMEM267	0.99	-0.00253
TMEM268	0.99	-0.00174
TMEM30A	0.889	-0.148
TMEM30CP	0.99	0.00857
TMEM33	0.266	-0.0365
TMEM37	0.165	0.0439
TMEM38A	0.99	0.00108
TMEM38B	0.99	-0.00426
TMEM39A	0.99	-0.00993
TMEM39B	0.255	0.0266
TMEM40	0.481	-0.103
TMEM41A	0.99	-0.00852
TMEM41B	0.99	0.0025
TMEM42	0.99	-0.00858
TMEM43	0.934	-0.00588
TMEM44	0.99	-0.00702
TMEM44-AS1	0.99	-0.000881
TMEM45A	0.615	0.0375
TMEM45B	0.99	-0.0156
TMEM5	0.777	-0.017
TMEM50A	0.818	-0.00667
TMEM50B	0.99	-0.00375
TMEM51	0.891	-0.0614
TMEM51-AS1	0.99	-0.00716
TMEM52	0.731	-0.0167
TMEM52B	0.99	0.0112
TMEM53	0.935	-0.0067
TMEM54	0.99	-0.0253
TMEM55A	0.99	-0.00511
TMEM55B	0.99	-0.005
TMEM56	0.99	0.0498
TMEM56-RWDD3	0.00151	0.0811
TMEM57	0.349	-0.0602
TMEM59	0.797	0.0152
TMEM59L	0.845	-0.00384
TMEM60	0.99	-0.00428
TMEM61	0.651	-0.0466
TMEM62	0.722	-0.0302
TMEM63A	0.0377	-0.124
TMEM63B	0.961	-0.0246
TMEM63C	0.99	0.00426
TMEM64	0.907	-0.00462
TMEM65	0.19	0.0773
TMEM67	0.0958	-0.0912
TMEM68	0.99	-0.00394
TMEM69	0.563	-0.00906
TMEM70	0.346	-0.00652
TMEM71	0.99	0.0217
TMEM72-AS1	0.0877	-0.058
TMEM74	0.738	-0.0053
TMEM74B	0.952	-0.0252
TMEM79	0.947	-0.054
TMEM80	0.974	0.00383
TMEM81	0.99	-0.00442
TMEM82	0.066	-0.0366
TMEM86A	0.99	-0.00387
TMEM86B	0.99	-0.0229
TMEM87A	0.99	-0.00272
TMEM87B	0.602	-0.0334
TMEM88	0.99	-0.00889
TMEM88B	0.99	0.0531
TMEM89	0.99	-0.0157
TMEM8A	0.902	0.0204
TMEM8B	0.99	-0.0485
TMEM8C	0.99	-0.0315
