Gene	MayorLynn2011.FC	MayorLynn2011.p
TMEM69	1.33	0.26
HDHD1A	0.88	0.26
TMF1	1.79	0.26
SLC37A1	1.09	0.26
GNAQ	1.15	0.26
MGAT1	1.01	0.26
ACY1L2	1.77	0.26
ABI3	1.15	0.26
CDH3	1.6	0.26
KCNK5	1.2	0.26
C2	1.25	0.26
KIAA1161	1.46	0.26
C17ORF27	1.5	0.26
VNN2	1.3	0.26
RIS1	0.5	0.27
ALDOC	0.84	0.27
THBS1	1.12	0.27
COL17A1	2.67	0.27
TCEAL3	1.18	0.27
CXCR7	0.84	0.27
EMP1	1.07	0.27
HSD11B1	2	0.27
LGALS3	1.52	0.27
KCNK1	1.42	0.27
ANTXR1	1.43	0.27
RAB40B	1.06	0.27
C19ORF33	2.53	0.27
GSTO2	2.2	0.27
PLOD1	1.01	0.27
RHPN2	1.49	0.27
AYTL2	1.49	0.27
FLJ22471	0.95	0.27
NT5C	1.19	0.27
IFIT2	1.2	0.27
ZNF557	1.18	0.27
N6AMT1	1.78	0.27
FLJ25143	0.65	0.27
OR8H3	0.91	0.27
HOOK1	1.86	0.27
TUBA1A	0.91	0.27
MANBA	2.21	0.27
SLC30A5	1.75	0.27
UBLCP1	1.76	0.27
HOXB6	1	0.27
MULK	1.53	0.27
KIAA1219	1.05	0.27
SERINC3	1	0.27
BRD7	1.44	0.27
PPP1CB	1.64	0.27
TMEM62	1.44	0.27
PSMB4	1.07	0.27
C6ORF55	1.74	0.27
DCP1A	1.13	0.27
SGK3	1.76	0.27
PUM1	1.17	0.27
MRFAP1	1.19	0.27
SLC35A5	1.39	0.27
MNAB	1.52	0.27
TLK2	1.56	0.27
TMEM63B	1.09	0.27
SCN3A	1.16	0.27
LOC653566	1.01	0.27
C2ORF7	1.43	0.27
MKNK2	1.32	0.27
C1GALT1	1.45	0.27
NUDT1	1.09	0.27
IL10RB	1.3	0.27
GOT1	1	0.27
NECAP2	1.17	0.27
NAT12	1.42	0.27
VPS37B	1.17	0.27
LOC113386	1.19	0.27
GPR115	2.5	0.27
DHX38	1.12	0.27
MGC14327	1.23	0.27
RBM15B	1.2	0.27
NIP30	1.41	0.27
FLJ10099	1.35	0.27
SS18	0.88	0.27
ZNF291	1.17	0.27
C13ORF8	1.31	0.27
PRPF38A	1.37	0.27
2'-PDE	1.4	0.27
USH1G	1.14	0.27
C8ORF61	1.13	0.27
SPCS1	1.22	0.27
SLC25A36	1.33	0.27
CSNK2A2	1.13	0.27
CUEDC2	1.18	0.27
C14ORF133	1.19	0.27
BTG1	1.31	0.27
SSR4	1.15	0.27
CHCHD1	1.32	0.27
APEX1	1.3	0.27
MOCS1	1.22	0.27
SNUPN	1.24	0.27
C6ORF49	1.4	0.27
PMAIP1	1.72	0.27
EMILIN1	1.7	0.27
TPCN1	0.96	0.27
RSRC1	1.7	0.27
ARHGAP24	1.11	0.27
ITPKC	1.31	0.27
TMEM150	1.32	0.27
MAGOH	1.54	0.27
TNFSF5IP1	1.32	0.27
RPL34	1.48	0.27
TMED10P	1.24	0.27
TMEM64	1.35	0.27
HCAP-D3	1.37	0.27
PLK4	1.39	0.27
STXBP3	1.8	0.27
UBE2O	1.19	0.27
FLJ10006	1.38	0.27
C19ORF40	1.23	0.27
OFD1	1.61	0.27
ABHD4	1.16	0.27
PPP2R5D	1.33	0.27
PRICKLE1	1.26	0.27
NRBP1	1.24	0.27
TMEM100	0.8	0.27
DUS1L	1.31	0.27
CASP1	1.41	0.27
GNG11	1.25	0.27
PDSS1	1.48	0.27
PPIB	1.06	0.27
TRIP13	1.29	0.27
OSCAR	1.23	0.27
MGC7036	1.32	0.27
ANGPT1	1.17	0.27
JUP	1.16	0.27
NUP50	1.3	0.27
THOP1	1.52	0.27
ARL4	1.57	0.27
PHLDA3	1.13	0.27
CREBL1	1.41	0.27
HNRPA3P1	1.2	0.27
ZF	1.65	0.27
MYO5C	1.37	0.27
C1ORF188	2.04	0.27
RBM38	2.12	0.27
KIAA1543	1.06	0.27
SLC2A3	1.13	0.28
KIAA1715	1.3	0.28
LAMA3	1.39	0.28
PRIC285	1.09	0.28
SLC25A19	0.79	0.28
DOCK5	1.19	0.28
LAMC2	1.22	0.28
SAMD9	1.49	0.28
BNIP3	1.65	0.28
SERPINB7	1.91	0.28
CMKOR1	0.98	0.28
CACNA2D3	1.82	0.28
C9ORF111	1.22	0.28
COL16A1	1.23	0.28
SLC5A3	0.75	0.28
SYTL4	1.24	0.28
PLSCR3	1.1	0.28
C20ORF27	1.2	0.28
FLJ22531	1.35	0.28
ZNF562	1.18	0.28
ZNF669	1.42	0.28
MGC15912	1.18	0.28
CTXN1	1.77	0.28
SPATA20	1.3	0.28
MYST1	0.83	0.28
DDX43	2.09	0.28
NAT13	1.78	0.28
UNC45A	0.91	0.28
FLJ20297	1.01	0.28
KDELR1	0.99	0.28
STIP1	0.91	0.28
SART3	1.24	0.28
IFNAR2	1.47	0.28
TFIP11	1.09	0.28
ARID2	1.47	0.28
PTPN21	1.08	0.28
TRIP11	1.64	0.28
TSPAN3	1.48	0.28
ATP6V1C1	1.66	0.28
TOR1AIP2	1.13	0.28
ZNF207	1.1	0.28
PPP1R8	1.16	0.28
OSBPL2	1.13	0.28
GTF2H3	1.8	0.28
SCARB2	1.65	0.28
TNS3	1.03	0.28
ANKRD27	1.19	0.28
C14ORF102	1.02	0.28
COQ5	1.27	0.28
OSTF1	1.37	0.28
ATP6V1B2	1.16	0.28
MAPRE1	1.19	0.28
JMJD1B	1.12	0.28
LSM12	1.35	0.28
TRIP4	1.47	0.28
NRD1	1.2	0.28
EIF4A1	1.21	0.28
DLK1	1.15	0.28
TRAF3	1.37	0.28
C1ORF198	1.16	0.28
EDF1	1.11	0.28
BAT2D1	1.25	0.28
TMEM30B	1.21	0.28
ASH2L	1.18	0.28
DPP9	1.29	0.28
SEC24C	1.12	0.28
IPO9	1.23	0.28
PPP4R1	1.35	0.28
IK	1.22	0.28
DTNBP1	1.14	0.28
EIF4E2	1.23	0.28
CEBPG	1.39	0.28
C9ORF127	1.45	0.28
MPND	0.98	0.28
EIF3S12	1.16	0.28
PHF10	1.21	0.28
ZFP260	1.77	0.28
CPVL	1.69	0.28
GLB1	1.39	0.28
BTN3A3	1.13	0.28
SERF2	1.16	0.28
C8ORF76	1.38	0.28
DNAL4	1.25	0.28
C9ORF91	1.1	0.28
RNF13	1.66	0.28
RAD51C	1.26	0.28
RSAD1	1.46	0.28
TMEM123	1.55	0.28
MRPS18B	1.27	0.28
SLC25A12	1.43	0.28
C17ORF73	1.28	0.28
HAT1	1.55	0.28
MRPL23	1.32	0.28
CCT6AP1	1.43	0.28
CDIPT	1.22	0.28
C7ORF25	1.5	0.28
SERPINB1	1.31	0.28
ACPT	1.11	0.28
COQ2	1.28	0.28
C10ORF7	1.43	0.28
ANKMY2	1.32	0.28
DIP2A	1.25	0.28
CYB5R4	1.68	0.28
TAPBP	1.22	0.28
CDC25B	1.29	0.28
FLII	1.2	0.28
RAP1GA1	0.94	0.28
SYBL1	1.51	0.28
HS3ST3A1	1.24	0.28
MGC16824	1.36	0.28
ZNF503	1.51	0.28
TXN2	1.2	0.28
CMYA5	1.7	0.28
IRX1	1.3	0.28
AMY1A	2.3	0.28
SLC22A17	1.11	0.28
NTE	1.22	0.28
LPHN2	1.48	0.28
TRIM32	1.32	0.28
PIK3CB	1.4	0.28
SPRED2	1.41	0.28
PGM1	1.1	0.28
PLAU	1.09	0.28
FLJ14154	1.2	0.28
MAP3K11	1.12	0.28
ACP6	1.15	0.28
IL10RA	1.23	0.28
GNG12	1.18	0.28
LSS	1.96	0.28
RGPD1	2.79	0.28
ABCG1	1.07	0.28
PAK6	1.21	0.28
LOC150084	1.25	0.28
PANK1	1.55	0.28
ZNF193	1.25	0.28
FKHL18	0.75	0.28
GOLT1A	1.27	0.28
MPO	1.13	0.28
ART4	1.01	0.29
TMEM45A	1.16	0.29
EPSTI1	0.97	0.29
ERO1L	1.46	0.29
MGC59937	1.28	0.29
PTGER2	0.91	0.29
PRL	4.27	0.29
MT1X	3.47	0.29
CCRN4L	1.57	0.29
CCL8	0.97	0.29
LOXL4	1.28	0.29
MTE	1.27	0.29
SFRP1	2.67	0.29
OAS2	0.68	0.29
PLS3	1.17	0.29
DKFZP564O0823	1.01	0.29
NELF	0.94	0.29
TIMP1	0.92	0.29
STS-1	1.55	0.29
C3ORF28	1.49	0.29
EFEMP2	1.07	0.29
CRYZ	0.9	0.29
ACTN1	1.18	0.29
IGFBP5	1.09	0.29
SOS1	0.61	0.29
CLYBL	2.17	0.29
HSPA1B	0.59	0.29
MYO5B	2.62	0.29
AOX1	0.69	0.29
ZNF165	2.23	0.29
GALT	0.92	0.29
HYAL4	1.81	0.29
HLA-DPA1	0.68	0.29
C10ORF9	1.02	0.29
LAMP1	1.02	0.29
ZNF33A	1.84	0.29
UBE2H	1.17	0.29
EXOSC9	1.72	0.29
UROD	1.13	0.29
RBCK1	1.19	0.29
ADPRH	1.47	0.29
RG9MTD2	1.8	0.29
COPS3	1.14	0.29
PSMD4	1.06	0.29
SLC35D2	1.46	0.29
HDAC2	1.31	0.29
CDK5RAP1	1.26	0.29
LRPPRC	1.43	0.29
PSMD9	1.32	0.29
SETD4	1.25	0.29
MBTPS1	1.25	0.29
SNX4	1.35	0.29
LGALS8	1.38	0.29
KIAA0556	1.2	0.29
EIF4G2	1.08	0.29
DLG5	1.06	0.29
CNOT1	1.35	0.29
HEATR5B	1.54	0.29
MRPL36	1.37	0.29
AIP	0.98	0.29
NPLOC4	1.01	0.29
DGCR14	1.35	0.29
CTNNB1	1.58	0.29
MGC5242	1.12	0.29
PDCD5	1.59	0.29
SFPQ	1.11	0.29
MRPS28	1.41	0.29
GLA	0.97	0.29
TRIM44	1.5	0.29
EXDL2	1.3	0.29
HSF2	1.39	0.29
ARID5B	1.42	0.29
GCDH	1.15	0.29
CBX5	1.15	0.29
BTF3	1.3	0.29
RDH13	1.09	0.29
ZDHHC6	1.18	0.29
ARHGAP1	1.33	0.29
TUBGCP2	1.19	0.29
TNFRSF1A	1.2	0.29
FAM10A7	1.18	0.29
SECISBP2	1.21	0.29
FLJ14768	1.16	0.29
GPX7	1.29	0.29
SMPD1	1.41	0.29
SMG7	1.15	0.29
MAN1A1	1.57	0.29
ZBED4	1.25	0.29
CCDC23	1.16	0.29
ZNF319	1.27	0.29
RPL6	1.3	0.29
WDR55	1.41	0.29
AP1S2	1.37	0.29
CTNNBIP1	1.15	0.29
EDARADD	1.16	0.29
GPR109B	1.16	0.29
LGR4	1.94	0.29
HIST1H1C	1.31	0.29
SLC6A9	0.82	0.29
SYN2	1.42	0.29
TM7SF2	1.3	0.29
SMPD2	1.04	0.29
NAALAD2	1.6	0.29
ATP6V1C2	0.92	0.29
TNFRSF25	1.58	0.29
ZCSL2	1.41	0.29
FAM91A1	1.33	0.29
LYSMD2	1.1	0.29
HIST1H4C	1.19	0.29
C1ORF108	1.4	0.29
N4BP3	1.06	0.29
LRRC4	1.11	0.29
CECR1	0.86	0.29
METTL7B	0.83	0.29
HNRPA3	1.42	0.29
C14ORF37	0.93	0.29
LAIR2	1.51	0.3
RRAD	1.78	0.3
MLPH	0.87	0.3
IFIT1	1.07	0.3
IL1R2	1.88	0.3
P4HA1	1.13	0.3
ENDOGL1	1.26	0.3
MT1F	1.44	0.3
UGDH	1.41	0.3
CYP26B1	1.71	0.3
C8ORF1	1.65	0.3
MYO10	1.32	0.3
PBX3	1.26	0.3
OSR1	1.81	0.3
DNAJC15	1.83	0.3
GJA12	1.3	0.3
LRRC32	0.83	0.3
CTSK	2.38	0.3
UBE2L6	0.82	0.3
INS-IGF2	1.32	0.3
THY1	1.11	0.3
FLJ33790	1.14	0.3
CERK	1.34	0.3
ZNF358	1.18	0.3
FLJ37464	1.19	0.3
SRPX2	1.29	0.3
RIPK5	1.66	0.3
IGFBP1	8.73	0.3
STXBP6	1.52	0.3
GNPTG	0.82	0.3
UST	1.79	0.3
DNASE1L3	0.27	0.3
MERTK	0.81	0.3
SLC24A3	2.03	0.3
FLJ33718	1.84	0.3
MRPL1	1.78	0.3
APITD1	1.7	0.3
MGC26963	1.76	0.3
CHMP2A	1.04	0.3
SNRPF	1.57	0.3
ZFP106	1.44	0.3
GLRX5	1.04	0.3
TBC1D9	1.52	0.3
FAM105B	1.33	0.3
ANKRD39	1.24	0.3
GRAMD2	1.48	0.3
KIAA0310	1.19	0.3
RIPK4	1.67	0.3
MRPL14	1.05	0.3
FANCD2	1.41	0.3
PHF20L1	1.59	0.3
RNF38	1.23	0.3
MCM6	1.39	0.3
PTPRG	1.01	0.3
MRPL10	1.09	0.3
RC74	1.11	0.3
DCP2	1.22	0.3
TULP4	1.35	0.3
AFTPH	1.19	0.3
CASP3	1.43	0.3
FECH	1.46	0.3
CRYZL1	1.29	0.3
NICN1	1.39	0.3
ANKRD46	1.53	0.3
CCT6A	1.37	0.3
TNPO1	1.11	0.3
KIAA0999	1.09	0.3
CKAP5	1.19	0.3
WDR61	1.31	0.3
AMD1	1.05	0.3
UBE2I	1.22	0.3
STAM	1.39	0.3
MOV10	1.24	0.3
CKS1B	1.07	0.3
ACO1	1.15	0.3
DCTN3	1.11	0.3
MRPL21	1.26	0.3
WDR68	1.17	0.3
GCSH	1.02	0.3
C20ORF24	1.21	0.3
PPP2CB	1.24	0.3
RAB5A	1.25	0.3
PLAGL1	1.61	0.3
EI24	1.46	0.3
C18ORF56	1.06	0.3
WNK1	1.18	0.3
NDUFA7	1.34	0.3
EXOC1	1.53	0.3
WASF2	1.63	0.3
LIN28B	1.34	0.3
PRMT1	1.21	0.3
TRIM51	1.17	0.3
RPL30	1.29	0.3
CYFIP2	1.38	0.3
FLJ20920	1.02	0.3
PRDM8	1.12	0.3
ANKRD49	1.67	0.3
NDUFS8	1.24	0.3
BTF3L4	1.37	0.3
MTAP	1.67	0.3
HERC1	1.19	0.3
C17ORF85	1.49	0.3
TADA3L	1.3	0.3
LRDD	1.29	0.3
STK11	1.19	0.3
THRAP5	1.33	0.3
DGCR6	1.11	0.3
NP	1.31	0.3
APP	1.15	0.3
PRDX3	1.21	0.3
EXOC6	1.52	0.3
EPHX2	1.45	0.3
EVI5L	1.48	0.3
SAR1B	1.4	0.3
RASIP1	0.94	0.3
DHRS4L2	1.05	0.3
ZSCAN4	1.45	0.3
SOX17	1.12	0.3
CD74	0.7	0.3
FHL1	1.06	0.3
MFHAS1	1.35	0.3
KIFC1	1.18	0.3
CLIP2	1.51	0.3
CGB1	1.06	0.3
DARC	1.44	0.3
CYP1B1	0.67	0.3
RGPD2	3.1	0.3
LRRC15	1.08	0.31
CCL20	0.94	0.31
SOD2	1.27	0.31
ACSL1	0.8	0.31
OVOL2	1.16	0.31
SNAI2	1.7	0.31
UGCG	0.98	0.31
MOXD1	1.57	0.31
CYBRD1	2.01	0.31
ODC1	1.25	0.31
LEPREL1	1.02	0.31
MGC4677	1.06	0.31
IFITM1	0.84	0.31
EIF2AK2	1.31	0.31
CD44	1.15	0.31
ZNF395	1.43	0.31
CPNE8	1.77	0.31
ZNF440L	1.6	0.31
NLRP8	1.09	0.31
ANKRD44	1.37	0.31
HSCB	1.43	0.31
PPP1R16A	1.38	0.31
MBTD1	1.63	0.31
TUBG1	0.79	0.31
USP47	2.05	0.31
PLXNA2	1.82	0.31
ZNF32	1.86	0.31
VPS36	1.69	0.31
APBB2	2.05	0.31
NCSTN	0.95	0.31
CDV3	1.8	0.31
C16ORF44	1.02	0.31
FUNDC1	2.04	0.31
NBPF3	2.02	0.31
ZBTB24	1.63	0.31
CASC2	1.07	0.31
COPA	1.08	0.31
SEPHS1	1.39	0.31
SIN3A	1.09	0.31
FLJ21103	0.99	0.31
HSPC117	1.06	0.31
RBMS1	0.97	0.31
TMEM51	1.01	0.31
TRIP12	1.42	0.31
BARD1	1.53	0.31
DNAJA1	1.1	0.31
HNRPUL1	1.03	0.31
PCBP1	1.09	0.31
SFT2D1	1.18	0.31
ASF1A	1.61	0.31
PGM3	1.83	0.31
TBL1XR1	1.52	0.31
DNAJB9	1.12	0.31
DDX10	1.42	0.31
ZNF93	1.06	0.31
GPR92	1	0.31
PDIA4	1.46	0.31
RPL29	1.04	0.31
RPL38	1.23	0.31
RAPSN	1.15	0.31
LRP1	1.34	0.31
TTC16	1.3	0.31
GABARAPL2	1.49	0.31
SYPL1	1.17	0.31
RAP2C	1.19	0.31
H2AFZ	1.15	0.31
HDDC3	1.14	0.31
MRPL19	1.23	0.31
BCL2L13	1.17	0.31
PRMT2	1.24	0.31
RGMA	0.99	0.31
NDUFV2	1.19	0.31
PDIK1L	1.61	0.31
HIBADH	1.17	0.31
TYRO3	1.2	0.31
RPA3	1.21	0.31
ZNF226	1.22	0.31
LOC402057	1.43	0.31
C8ORF41	1.19	0.31
PIP5K2C	1.13	0.31
C6ORF130	1.31	0.31
CYP20A1	1.42	0.31
CKS2	1.13	0.31
DCTN5	1.19	0.31
TAZ	1.25	0.31
C14ORF156	1.44	0.31
ALOX5	1.5	0.31
ANKRD40	1.1	0.31
PIGF	1.5	0.31
SORT1	1.47	0.31
LOC153222	1.17	0.31
C10ORF28	1.78	0.31
CDCA4	1.42	0.31
RAB20	1.41	0.31
NDUFV3	1.29	0.31
WDR12	1.47	0.31
L1CAM	1.27	0.31
BRI3	1.34	0.31
PTK9L	1.29	0.31
NSUN3	1.58	0.31
RPL36	1.33	0.31
LPPR2	1.47	0.31
SLC6A6	0.95	0.31
ZCCHC8	1.31	0.31
KRT8	1.18	0.31
DDX49	1.06	0.31
COPG	1.18	0.31
MINA	1.67	0.31
ITGB3	1.12	0.31
WDR50	1.37	0.31
KLF10	1.11	0.31
TINP1	1.61	0.31
ITGAV	1.48	0.31
ADCY7	1.44	0.31
DPH3	1.33	0.31
GUCY1A3	1.47	0.31
TTC32	1.63	0.31
WNT7A	1.44	0.31
TBX2	1.05	0.31
EGFL7	1.55	0.31
NEURL	1.29	0.31
CBY1	0.99	0.31
C6ORF60	1.46	0.31
GATM	1.3	0.31
TCL6	1.36	0.31
LRP8	1.11	0.31
CSF2RB	0.87	0.31
RNASE4	0.99	0.32
SPRR2G	2.92	0.32
ETS2	1.02	0.32
RBP1	1.84	0.32
IRS2	1.41	0.32
RND3	2.07	0.32
PLOD2	1.43	0.32
PPFIBP2	1.32	0.32
STC1	2.94	0.32
GOLGA8B	2.13	0.32
PPFIBP1	0.85	0.32
SLC25A42	1.15	0.32
CHST7	1.36	0.32
C22ORF13	0.95	0.32
ABCC3	1.02	0.32
ARL16	1.35	0.32
ASB1	1.48	0.32
COL8A1	1.58	0.32
LEP	0.4	0.32
CYP4V2	1.71	0.32
SH3PXD2A	0.6	0.32
SLC24A1	2.26	0.32
C8ORF40	2.02	0.32
SEMA3G	0.75	0.32
ADFP	0.7	0.32
PLA2G10	0.73	0.32
SEC10L1	1.81	0.32
AMICA1	0.68	0.32
ZCCHC14	1.83	0.32
IL11RA	0.9	0.32
CBR1	0.9	0.32
MARCKS	0.97	0.32
TBC1D20	0.98	0.32
SCC-112	1.87	0.32
FAM20B	1.91	0.32
DNAJC13	1.49	0.32
ANKRD9	0.96	0.32
MYH10	1.47	0.32
ISCA1	1.54	0.32
RAB8A	1.06	0.32
FASTK	1.44	0.32
TP53INP2	1.08	0.32
CAND1	1.85	0.32
MAPKAPK2	1.64	0.32
RPS13	1.1	0.32
CYB5A	1.44	0.32
ATPAF1	1.31	0.32
KCTD3	1.5	0.32
WBP5	1.52	0.32
EPM2AIP1	1.87	0.32
HMG20A	1.34	0.32
SLC44A1	1.12	0.32
PRKAG1	1.24	0.32
NGDN	1.16	0.32
CDC42	0.98	0.32
WRNIP1	1.07	0.32
TUBGCP6	1.63	0.32
HLA-DRB5	0.35	0.32
VHL	1.3	0.32
HBXIP	1.26	0.32
ZWILCH	1.63	0.32
POLR2G	1.27	0.32
TSRC1	1.51	0.32
SON	1.21	0.32
APPBP1	1.57	0.32
PUM2	1.41	0.32
TEAD2	0.95	0.32
DPF2	1.09	0.32
KIAA0182	1.21	0.32
FAM98C	1.54	0.32
PSMB3	1.06	0.32
TFE3	1.36	0.32
NARFL	1.39	0.32
BRF2	1.37	0.32
INPP5D	0.81	0.32
RASAL2	1.25	0.32
ARCN1	1.33	0.32
SLC30A9	1.54	0.32
SCYL2	1.22	0.32
PEX19	1.17	0.32
PDDC1	1.29	0.32
KIAA0323	1.4	0.32
ATP5H	1.2	0.32
RIPK2	1.38	0.32
PRKCSH	1.06	0.32
NDUFA3	1.43	0.32
SF3B2	1.18	0.32
TEK	0.97	0.32
EGFLAM	1.03	0.32
NFAT5	1.18	0.32
WDR48	1.19	0.32
ZNF318	1.51	0.32
ANGEL1	1.34	0.32
SEC23B	1.26	0.32
WBSCR18	1.37	0.32
KIAA1787	1.21	0.32
PRKAB1	1.22	0.32
TBRG4	1.2	0.32
WDR53	1.48	0.32
PLEKHM1	1.33	0.32
SRM	1.16	0.32
TCF3	1.36	0.32
MAD1L1	1.26	0.32
CDC42EP1	1.15	0.32
DLG4	1.6	0.32
PYCR2	1.3	0.32
ADAM19	1.25	0.32
SPRY1	0.99	0.32
HECW2	0.84	0.32
NFIB	1.43	0.32
FLJ14803	1.43	0.32
KIAA1160	1.21	0.32
CYCS	1.82	0.32
HEM1	1.05	0.32
SOCS4	1.69	0.32
CGI-96	0.7	0.32
SLC9A4	0.59	0.32
CXORF40B	1.24	0.32
SELI	1.28	0.32
NOS3	1.18	0.32
RENBP	1.45	0.32
MMRN2	1.34	0.32
PLVAP	1.2	0.32
MOCOS	1.33	0.32
CA8	1.1	0.32
MAPK4	1.51	0.32
C21ORF56	1.04	0.32
RNF39	1.31	0.32
FHOD3	0.67	0.32
MX1	0.69	0.33
KLF9	1.03	0.33
TSC22D3	0.98	0.33
COL4A5	1.27	0.33
ITPR3	0.8	0.33
MT1A	1.35	0.33
AFAP	0.91	0.33
UBL3	1.69	0.33
IRF7	0.98	0.33
COL7A1	1.77	0.33
MFAP4	1.92	0.33
GAS1	2.3	0.33
VAT1	1.06	0.33
PTPLB	1.39	0.33
TETRAN	0.94	0.33
CLCNKA	0.46	0.33
NNMT	1.1	0.33
ST3GAL5	1.67	0.33
AKAP13	1.19	0.33
LONP2	1.13	0.33
RALGDS	1.15	0.33
SH3GLB2	1.13	0.33
ZMYM1	1.79	0.33
CD79B	0.72	0.33
TBCD	0.85	0.33
CRNN	1.7	0.33
ECAT11	1.86	0.33
TEX261	0.96	0.33
MKRN1	0.98	0.33
TRIM58	0.79	0.33
RPS6KC1	1.71	0.33
ERP29	1.01	0.33
S100PBP	1.67	0.33
FLJ10379	1.53	0.33
TA-PP2C	1.57	0.33
AGPAT2	1.95	0.33
SKIV2L2	1.59	0.33
RINT-1	1.57	0.33
PSMB1	1.12	0.33
FLJ31568	1.71	0.33
RPS11	1.14	0.33
RAB35	1	0.33
MRLC2	1.19	0.33
FLJ11259	1.56	0.33
SHFM1	1.41	0.33
PFS2	1.15	0.33
C10ORF137	1.66	0.33
COG5	1.77	0.33
QPCT	1.86	0.33
AATF	1.1	0.33
USP37	1.34	0.33
MFAP1	1.31	0.33
MTX2	1.33	0.33
AGPS	1.29	0.33
CPSF2	1.55	0.33
WDR46	1.12	0.33
ARL5	1.12	0.33
AEBP2	1.39	0.33
BYSL	1.19	0.33
KIAA1429	1.53	0.33
STRN	1.09	0.33
FNTA	1.23	0.33
PARC	1.38	0.33
GTF2H4	1.4	0.33
MYD88	1.2	0.33
PPAPDC1B	1.66	0.33
TFAM	1.37	0.33
LOH11CR2A	1.39	0.33
ZCCHC11	1.66	0.33
ZNFN1A4	1.13	0.33
AKAP8	1.31	0.33
HRH1	1.74	0.33
PPP1R12B	1.38	0.33
C22ORF25	1.24	0.33
PPP1R14C	1.28	0.33
SLC35F5	1.57	0.33
MICAL1	1.05	0.33
MLX	1.18	0.33
ATIC	1.29	0.33
SPTA1	1.1	0.33
FLJ11193	1.29	0.33
PLSCR4	1.1	0.33
TOMM40L	1.13	0.33
RAB4A	1.45	0.33
RARA	1.37	0.33
LIN7B	1.07	0.33
GNA11	1.17	0.33
UBE2C	1.1	0.33
LOC144363	1.41	0.33
PRAF2	1.56	0.33
MAGED1	1.68	0.33
PFN2	1.25	0.33
FKBP1A	1.16	0.33
C20ORF98	1.27	0.33
LEPRE1	1.47	0.33
IFRG15	1.35	0.33
ATP6V0A2	1.35	0.33
ZBTB38	1.34	0.33
PDE5A	1.34	0.33
CDC7	2	0.33
SPATA13	1.02	0.33
LOC162073	1.7	0.33
C6ORF72	1.6	0.33
LGP1	1.14	0.33
ZNF143	1.25	0.33
NME6	1.36	0.33
DHRS4	1.52	0.33
GCA	1.45	0.33
SYMPK	1.33	0.33
CPS1	0.9	0.33
GALNAC4S-6ST	1.03	0.34
CKB	1.27	0.34
MLLT11	1.57	0.34
PTGES	1.48	0.34
JUN	1.26	0.34
MT2A	1.29	0.34
MAMDC2	1.44	0.34
ACOT11	1.15	0.34
IVNS1ABP	1.37	0.34
HIG2	1.4	0.34
MTDH	1.67	0.34
ARHGEF19	1.09	0.34
TMOD3	1.03	0.34
CXORF44	1.5	0.34
ASCC2	0.94	0.34
SPRYD3	1.16	0.34
ARL2	1.19	0.34
RCD-8	1.27	0.34
MYBPC3	0.41	0.34
GALE	0.79	0.34
ANKMY1	1.65	0.34
ITGA6	1.95	0.34
KLHDC5	1.6	0.34
C6ORF70	1.82	0.34
PPP1R14B	0.93	0.34
C1ORF164	1	0.34
COMT	0.99	0.34
HLA-DRB6	0.62	0.34
NBPF11	1.9	0.34
ZCCHC9	1.72	0.34
KRTCAP3	1.47	0.34
C1ORF144	1.01	0.34
SNTA1	1.04	0.34
DDX46	1.84	0.34
STOM	1.09	0.34
COG1	1.06	0.34
KIAA0274	1.3	0.34
KIAA0409	1.16	0.34
U2AF1	1.11	0.34
DHX36	1.72	0.34
MAPK13	0.74	0.34
NCBP1	1.24	0.34
CANX	1.33	0.34
CYB5D1	1.49	0.34
KIAA0415	1.46	0.34
FBXO21	1.17	0.34
TMED2	1.52	0.34
ATP5B	1.09	0.34
GNPAT	1.16	0.34
COIL	1.46	0.34
CRAMP1L	1.4	0.34
RBMX	1.17	0.34
MSX1	1.51	0.34
MDC1	1.4	0.34
MRPL11	1.12	0.34
MRPS21	1.52	0.34
BLMH	1.32	0.34
APPBP2	1.43	0.34
PGM2	1.43	0.34
SLC41A2	1.03	0.34
COX5B	1.32	0.34
PAIP2	1.42	0.34
HOXB7	1.12	0.34
RPS6KA6	1.25	0.34
NUDT5	1.23	0.34
FAM33A	1.3	0.34
STAG2	1.52	0.34
CCT7	1.15	0.34
HNMT	1.54	0.34
SFRS2IP	1.69	0.34
ZYG11BL	1.29	0.34
SLC22A5	1.23	0.34
SRPK1	1.28	0.34
CCDC50	1.35	0.34
RPL36A	1.3	0.34
KLP1	1.49	0.34
ANGPTL4	1.05	0.34
CSTF3	1.41	0.34
SLC39A7	1.06	0.34
COX6A1	1.24	0.34
WDR45L	1.4	0.34
FLJ10159	0.9	0.34
PRPF19	1.24	0.34
C1ORF160	1.29	0.34
SLC31A2	1.06	0.34
PGAM1	1.14	0.34
FAM3C	1.4	0.34
CDC2	1.06	0.34
ICA1	1.2	0.34
QSCN6	1.17	0.34
ZNFN1A1	0.57	0.34
NOTCH3	1.26	0.34
HES2	1.45	0.34
HIST1H4H	1.39	0.34
KRT25C	1.07	0.34
NPB	1.15	0.34
CBS	0.95	0.35
P4HA2	0.98	0.35
NFKBIZ	1.14	0.35
DSEL	1.26	0.35
CLDN12	1.32	0.35
FTHL3	1.54	0.35
CYB5R2	1.42	0.35
PARP3	1	0.35
IL17D	1.29	0.35
SIPA1L2	1.11	0.35
